,ID,Customer_id,Interaction,UID,zip,Lat,Lng,City,State,Population,County,Area,Timezone,Job,Children,Age,Education,Employment,Income,Marital,fav_color,Credit_card,Churn,Gender,SeniorCitizen,Contract,Partner,Depend,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,TotalCharge,item1,item2,item3,item4,item5,item6,item7,item8
1,1,K409198,4cb75839-4807-45e3-a9da-794e9ce53972,34536072f30ba5acb148becdfc5a0c34,23176,37.57039,-76.42148,Wake,VA,331,Middlesex,Urban,America/New_York,"Production designer, theatre/television/film",1,68,Regular High School Diploma,Full Time,21242.88,Married,DarkCyan,JCB 16 digit,Yes,Female,No,One year,Yes,Yes,Fiber Optic,1,No,Yes,Yes,No,0,No,Yes,Yes,Credit Card (automatic),6.795512947,89.40539249,577.7604661,3,3,2,2,2,4,2,3
2,2,S120509,84632dbc-39c2-4b11-b840-577fd97ef223,2a6346e985cb7a3f29678436fcd66912,30114,34.24692,-84.52571,Canton,GA,53210,Cherokee,Suburban,America/New_York,Radiation protection practitioner,0,70,Associate's Degree,Full Time,5832.98,Married,LightPink,VISA 16 digit,No,Male,Yes,Month-to-month,No,Yes,Fiber Optic,1,Yes,Yes,No,No,NA,Yes,Yes,Yes,Bank Transfer(automatic),1.156680997,94.74128583,138.1714594,2,2,2,3,4,1,2,2
3,3,K191035,cf372768-93dc-4021-a0c0-8222b6f5d53b,8eebc9f5cdff8d844fa63f873954d459,25253,38.92317,-81.96954,Letart,WV,2230,Mason,Urban,America/New_York,Industrial/product designer,1,86,Associate's Degree,Student,39798.11,Married,OldLace,Mastercard,Yes,Male,Yes,Two Year,Yes,No,DSL,1,Yes,No,No,No,0,No,Yes,Yes,Credit Card (automatic),NA,100.4166677,1587.135294,2,3,3,2,4,2,2,3
4,4,D90850,0bf6bf97-0976-435e-824d-4abab6394b2a,d8405d10d39ed978a31efbf492f833cd,8610,40.19247,-74.71581,Trenton,NJ,30493,Mercer,Urban,America/New_York,Mudlogger,0,25,GED or Alternative Credential,Full Time,12503.37,Divorced,LightGreen,VISA 16 digit,No,Female,Yes,Two Year,No,No,DSL,1,No,Yes,No,No,0,Yes,No,Yes,Mailed Check,17.08722662,99.31571744,1789.877504,2,2,3,1,5,2,3,2
5,5,K662701,af894a53-25aa-4600-845d-c7abb676fa66,bbaca48e82f02e87a875452e32459fe3,67053,38.24685,-97.34622,Goessel,KS,582,Marion,Urban,America/Chicago,"Investment banker, corporate",1,66,"9th Grade to 12th Grade, No Diploma",Full Time,25201.82,Divorced,DarkOliveGreen,Discover,No,Male,No,Month-to-month,Yes,No,Fiber Optic,0,No,No,No,No,1,Yes,No,No,Mailed Check,1.670971726,121.2010947,115.2869078,1,3,2,4,0,2,3,4
6,6,W303516,077e35f0-4d78-41a5-b4ad-3d115f412497,b17914649db71a191b6847f99f23be0a,33801,28.04081,-81.89624,Lakeland,FL,35305,Polk,Suburban,America/New_York,"Research officer, political party",3,64,"Some College, 1 or More Years, No Degree",Full Time,11747.97,Married,Magenta,JCB 16 digit,No,Male,No,One year,Yes,No,None,1,Yes,Yes,Yes,Yes,NA,No,Yes,No,Electronic Check,7.000993555,94.27211035,638.8314543,1,2,1,2,1,3,3,3
7,7,U335188,a8393dd0-be2f-4adb-a457-656b460c5d11,41ef80f34981c2172c345af168fac268,93705,36.78671,-119.82833,Fresno,CA,37707,Fresno,Rural,America/Los_Angeles,"Programme researcher, broadcasting/film/video",0,79,"Some College, 1 or More Years, No Degree",Full Time,14613.28,Separated,DarkGreen,Diners Club / Carte Blanche,No,Female,Yes,Month-to-month,No,No,DSL,1,No,No,No,No,1,Yes,Yes,No,Electronic Check,13.23677381,105.6054642,1408.716166,2,3,2,3,2,2,2,3
8,8,V538685,003c953c-a0f0-4054-932b-68fc66231edd,38c42a0143d61ed3147a5a1badf0418a,77563,29.29417,-95.03029,Hitchcock,TX,10680,Galveston,Rural,America/Chicago,Wellsite geologist,0,35,Bachelor's Degree,Student,19344.02,Married,NavajoWhite,JCB 15 digit,Yes,Male,Yes,Month-to-month,No,No,DSL,0,No,No,Yes,No,0,No,No,Yes,Mailed Check,4.26425515,93.79377094,368.0887568,2,2,0,2,2,3,2,2
9,9,M716771,8f9f267b-a9c5-486c-8580-f1b20b77a37a,70bbac8e281e4fddfb6d5657f83c80d3,60081,42.45072,-88.22624,Spring Grove,IL,9660,McHenry,Urban,America/Chicago,Youth worker,3,73,Associate's Degree,Full Time,44318.79,Married,Tomato,JCB 15 digit,No,Female,No,Month-to-month,Yes,No,DSL,1,No,Yes,Yes,No,0,No,No,Yes,Bank Transfer(automatic),8.220686373,97.96994281,730.2421497,3,4,3,2,3,3,3,4
10,10,I676080,7355be5b-dd9d-4793-ae9e-9e6d28ab9ba5,f54c150fafcfaf53e419e8f9cd632856,38850,34.04898,-89.05311,Houlka,MS,2846,Chickasaw,Rural,America/Chicago,Building control surveyor,0,68,"Some College, 1 or More Years, No Degree",Full Time,41300.44,Never Married,Olive,Discover,No,Male,No,Two Year,Yes,No,Fiber Optic,1,No,Yes,No,Yes,0,No,Yes,Yes,Mailed Check,3.422086139,88.83951731,286.4734335,1,1,1,4,3,1,1,1
